run,vehicle,ttt_index,can_user_defined_index,configured_label,t_fcw_audio_observed_s,test_intent,eligible_for_fcw_audio_timing,eligible_for_aeb_response_or_proxy,braking_interpretation,intervention_class,operator_note
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/37-GVT 50 kph/129-VUT 60 kph; CCScpo Nearside GVT 50 kph FCW/V14_T129_R3.txt,14-BZ3X,3,1,SoundAlarm1,25.7019004821777,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/65-VUT 50 kph; CCRs 50 % FCW/V14_T65_R1.txt,14-BZ3X,3,1,SoundAlarm1,23.1816997528076,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/65-VUT 50 kph; CCRs 50 % FCW/V14_T65_R2.txt,14-BZ3X,3,1,SoundAlarm1,23.7320003509521,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/65-VUT 50 kph; CCRs 50 % FCW/V14_T65_R3.txt,14-BZ3X,3,1,SoundAlarm1,24.1620998382568,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/69-VUT 60 kph; CCRs -50 % FCW/V14_T69_R1.txt,14-BZ3X,3,1,SoundAlarm1,22.6016006469727,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/69-VUT 60 kph; CCRs -50 % FCW/V14_T69_R2.txt,14-BZ3X,3,1,SoundAlarm1,21.8647003173828,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/69-VUT 60 kph; CCRs -50 % FCW/V14_T69_R3.txt,14-BZ3X,3,1,SoundAlarm1,27.1921997070313,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/73-VUT 70 kph; CCRs 50 % FCW/V14_T73_R1.txt,14-BZ3X,3,1,SoundAlarm1,22.7616004943848,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/73-VUT 70 kph; CCRs 50 % FCW/V14_T73_R2.txt,14-BZ3X,3,1,SoundAlarm1,22.0816993713379,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/73-VUT 70 kph; CCRs 50 % FCW/V14_T73_R3.txt,14-BZ3X,3,1,SoundAlarm1,22.411600112915,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/77-VUT 80 kph; CCRs -50 % FCW/V14_T77_R1.txt,14-BZ3X,3,1,SoundAlarm1,21.7014999389648,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/77-VUT 80 kph; CCRs -50 % FCW/V14_T77_R2.txt,14-BZ3X,3,1,SoundAlarm1,23.1623992919922,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/77-VUT 80 kph; CCRs -50 % FCW/V14_T77_R3.txt,14-BZ3X,3,1,SoundAlarm1,22.0214996337891,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/7-C-NCAP ADAS 2024 (VUT)-CIASI/9-CCR [L.6.1]/12-FCW/13-CCRs/256-VUT 72 kph; CCRs 100 % FCW/V14_T256_R1.txt,14-BZ3X,3,1,SoundAlarm1,22.5316009521484,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/7-C-NCAP ADAS 2024 (VUT)-CIASI/9-CCR [L.6.1]/12-FCW/13-CCRs/256-VUT 72 kph; CCRs 100 % FCW/V14_T256_R2.txt,14-BZ3X,3,1,SoundAlarm1,22.1315002441406,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/7-C-NCAP ADAS 2024 (VUT)-CIASI/9-CCR [L.6.1]/12-FCW/13-CCRs/256-VUT 72 kph; CCRs 100 % FCW/V14_T256_R3.txt,14-BZ3X,3,1,SoundAlarm1,21.8617000579834,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/7-C-NCAP ADAS 2024 (VUT)-CIASI/9-CCR [L.6.1]/12-FCW/13-CCRs/591-VUT 72 kph; CCRs 100 % FCW-truck/V14_T591_R1.txt,14-BZ3X,3,1,Module1_SoundAlarm1,21.5818004608154,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/7-C-NCAP ADAS 2024 (VUT)-CIASI/9-CCR [L.6.1]/12-FCW/13-CCRs/591-VUT 72 kph; CCRs 100 % FCW-truck/V14_T591_R2.txt,14-BZ3X,3,1,Module1_SoundAlarm1,20.7315006256104,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
14-BZ3X/7-C-NCAP ADAS 2024 (VUT)-CIASI/9-CCR [L.6.1]/12-FCW/13-CCRs/591-VUT 72 kph; CCRs 100 % FCW-truck/V14_T591_R3.txt,14-BZ3X,3,1,Module1_SoundAlarm1,19.8216991424561,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
15-TANG L-CNCAP2024/23-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside--yongzhege/25-GVT 40 kph/3356-VUT 50 kph; CCScp Farside GVT 40 kph FCW/V15_T3356_R1.txt,15-TANG L-CNCAP2024,3,1,SoundAlarm,24.5900001525879,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
15-TANG L-CNCAP2024/23-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside--yongzhege/26-GVT 50 kph/3360-VUT 60 kph; CCScp Farside GVT 50 kph FCW/V15_T3360_R1.txt,15-TANG L-CNCAP2024,3,1,SoundAlarm,32.1599998474121,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
15-TANG L-CNCAP2024/23-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside--yongzhege/26-GVT 50 kph/3360-VUT 60 kph; CCScp Farside GVT 50 kph FCW/V15_T3360_R2.txt,15-TANG L-CNCAP2024,3,1,SoundAlarm,32.5700988769531,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
15-TANG L-CNCAP2024/23-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/3332-VUT 50 kph; CCRs 50 % FCW/V15_T3332_R1.txt,15-TANG L-CNCAP2024,3,1,SoundAlarm,21.9400005340576,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
15-TANG L-CNCAP2024/23-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/3336-VUT 60 kph; CCRs -50 % FCW/V15_T3336_R1.txt,15-TANG L-CNCAP2024,3,1,SoundAlarm,13.7299003601074,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
15-TANG L-CNCAP2024/23-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/3340-VUT 70 kph; CCRs 50 % FCW/V15_T3340_R1.txt,15-TANG L-CNCAP2024,3,1,SoundAlarm,12.7599000930786,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
15-TANG L-CNCAP2024/23-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/3344-VUT 80 kph; CCRs -50 % FCW/V15_T3344_R1.txt,15-TANG L-CNCAP2024,3,1,SoundAlarm,12.8900003433228,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
15-TANG L-CNCAP2024/23-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/3344-VUT 80 kph; CCRs -50 % FCW/V15_T3344_R2.txt,15-TANG L-CNCAP2024,3,1,SoundAlarm,13.039999961853,fcw_only_no_aeb,True,False,robot_braking_after_fcw,not_reviewed,
