run,vehicle,scenario,review_source,operator_note,intervention_class,aeb_response_eligibility,analysis_window_rule,sha256,onset_time_s,onset_speed_kph,onset_ttc_s,peak_deceleration_mps2,p05_acceleration_mps2,stopping_distance_from_onset_m,effective_constant_deceleration_distance_mps2,effective_constant_deceleration_time_mps2,time_onset_to_peak_s,event_duration_s,margin_time_s,br_position_travel_mm,brake_force_max_n,aeb_request_proxy_earliest_s,aeb_request_proxy_nominal_s,aeb_request_proxy_latest_s,aeb_request_to_onset_prior_low_s,aeb_request_to_onset_prior_high_s,aeb_request_proxy_status
Guang_Qi_A66_data/2-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/21-CPFAO-25 6.5 kph AEB (Night)/89-VUT 60 kph; CPFAO-25 6.5 kph AEB (Night)/V3_T89_R1.txt,Guang_Qi_A66_data,AEB,operator_expanded_review,AEB触发了，刹停避撞之后又松开了刹车导致溜车，最后人工接管了,manual_after_aeb_stop,eligible_through_first_stop_only,detected_braking_event_ending_at_first_stop,8df67e490c5a6aa6ea2203d6ac685111e5fbf7f93d51c3cbd889ea36c945c0fc,22.0614,60.416,1.1928,-11.086,-10.956,16.215,8.683,9.351,1.75,1.77,-0.321,32.066,9.932,21.711399999999998,21.8114,21.9114,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
6-C-NCAP 2024 Bao5/8-L6.1.5-CCRs-VUT/10-L6.1.5-CCRS-VUT-AEB/11-L6.1.5-CCRs-VUT-AEB/173-L6.1.5-CCRs-VUT-AEB-30kph-(+50%)/V6_T173_R1.txt,6-C-NCAP 2024 Bao5,CCRS,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,47118330e429e71b15dfd0e85ddce7b890f1d6b3696d54485d1e23c7e6d3e01b,29.1099,30.19,0.9877,-8.909,-8.758,5.169,6.796,7.382,0.41,1.1,0.0464,42.667,10.682,28.7599,28.8599,28.9599,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
13-xiaopengG9/8-Euro NCAP AEB VRU 2020 Group (VUT)/5-Pedestrian Farside Scenarios/6-CPFA-50 8 kph (Day) [7.2.4]/332-VUT 60 kph; CPFA-50 8 kph (Day)/V13_T332_R2.txt,13-xiaopengG9,CPFA,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,d9853ba71ad8bb165fdefc67eaf5f16cd7680eb185b2ece633857cb5cd5c3fb6,13.37,60.151,0.6387,-11.142,-10.357,18.52,7.535,6.912,0.82,2.38,-0.8609,32.364,75.01,13.02,13.12,13.219999999999999,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
15-TANG L-CNCAP2024/23-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB/11-CCRs/3329-VUT 40 kph; CCRs -50 % AEB/V15_T3329_R1.txt,15-TANG L-CNCAP2024,CCRS,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,2283b23275f0392f6230619d47eab523c09128343feda224536fbb5ac88efab8,22.94,40.48,1.6612,-10.966,-10.672,14.897,4.242,5.798,1.49,1.9,0.6358,46.231,11.828,22.59,22.69,22.790000000000003,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/16-AEB/17-Farside/18-GVT 20 kph/1788-VUT 30 kph; CCScp Farside GVT 20 kph AEB/V14_T1788_R4.txt,14-BZ3X,SCP,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,b6acc97a011167f4c5f5a07274579f9431728fd4b7f3ef307e7e05099def6988,20.6513,20.359,0.6395,-10.877,-10.811,2.078,7.681,8.431,0.34,0.64,0.1196,14.505,11.619,20.301299999999998,20.4013,20.5013,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/30-CSFAO [O.6.2.6]/31-CSFAO-50 20 kph AEB (Day)/1797-VUT 15 kph; FCTB-50 20 kph AEB (Day)-ENCAP/V14_T1797_R1.txt,14-BZ3X,AEB,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,1c91519991575a065e315b12fd1d9cbd0e15bc4ddb0caf8acaff01c62fa4a473,15.8111,15.379,0.4115,-10.42,-10.359,1.355,6.709,7.734,0.38,0.52,0.0015,10.47,10.448,15.4611,15.5611,15.6611,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/476-VUT 20 kph; CPNCO-25 5 kph AEB (Day)/V14_T476_R1.txt,14-BZ3X,CPNCO,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,5893bdddfa4fd91a1013a430d27e68a9368a0e3e3b71127cafa57ac6215430fe,22.0315,20.418,0.7677,-10.005,-9.911,2.119,7.573,8.311,0.4,0.65,0.2008,16.367,24.302,21.6815,21.7815,21.881500000000003,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/13-CPLA-25 5 kph AEB (Day)/452-VUT 20 kph; CPLA-25 5 kph AEB (Day)/V14_T452_R3.txt,14-BZ3X,CPLA,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,63dcea75a96664167495c6ec163541bb1206e53512f89de5879ad2a3188a2d62,14.9911,20.368,0.715,-10.696,-10.643,2.701,5.916,7.056,0.67,0.77,0.186,12.662,8.778,14.6411,14.7411,14.841099999999999,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/32-CBLA [O.6.2.7]/33-CBLA-25 15 kph AEB (Day)/530-VUT 40 kph; CBLA-25 15 kph AEB (Day)/V14_T530_R1.txt,14-BZ3X,CBLA,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,6f7cffa2712dae5c4811efd671cf375caaaae0421fe36a8394627e892c182bf1,21.0116,40.376,0.6262,-11.116,-10.912,7.135,8.812,9.398,0.35,1.17,-0.3828,16.119,-12.205,20.6616,20.7616,20.861600000000003,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/38-CCFT [L.6.1.9]/39-AEB/40-Farside/41-GVT 20 kph/133-VUT 10 kph; CCFT 20 kph AEB/V14_T133_R3.txt,14-BZ3X,CCFT,operator_expanded_review,none_confirmed,none_confirmed,eligible_full_braking_window,detected_braking_event,607d98e5f8f1c7ed6d4a20cac98aa1038a53f5e41e6f04cba9a704efe8dbe07b,37.213,10.569,0.3291,-10.36,-10.276,0.734,5.842,7.152,0.37,0.38,0.0457,17.31,5.005,36.863,36.963,37.063,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
