split,branch,conditions,router1_rate,fixed1_rate,script_rate,router1_minus_fixed1,fixed_ci_low,fixed_ci_high,router1_minus_script,script_ci_low,script_ci_high,permutation_delta,permutation_p,candidate_valid_rate,role_invalid,pass
Independent screen,single,239,0.3523012552301255,0.30794979079497903,0.0,0.04435146443514644,0.011694560669456074,0.07782426778242678,0.3523012552301255,0.2953974895397489,0.4100418410041841,0.11005640167364017,0.0001999600079984003,1.0,0,True
Independent screen,dual,232,0.253448275862069,0.2163793103448276,0.02327586206896552,0.03706896551724138,0.0025862068965517254,0.07327586206896551,0.23017241379310344,0.178448275862069,0.28448275862068967,0.06849258620689655,0.0001999600079984003,0.9594827586206897,0,True
Heldout,single,222,0.36756756756756753,0.327027027027027,0.0,0.04054054054054054,0.011711711711711714,0.07117117117117118,0.36756756756756753,0.3099099099099099,0.42792792792792794,0.11436540540540535,0.0001999600079984003,1.0,0,True
Heldout,dual,227,0.20352422907488987,0.17444933920704844,0.022026431718061675,0.02907488986784141,0.0008810572687224658,0.05817180616740057,0.1814977973568282,0.13480176211453745,0.22995594713656387,0.05744422907488986,0.0001999600079984003,0.9418502202643172,0,True
