split,branch,conditions,router2_rate,fixed2_rate,router2_minus_fixed2,ci_low,ci_high,mean_decision_steps,candidate_valid_rate,role_invalid,permutation_delta,permutation_p
Independent screen,single,121,0.3884297520661157,0.35702479338842974,0.03140495867768595,0.008264462809917356,0.05950413223140495,119.31404958677686,1.0,0,0.043018842975206584,0.0007998400319936012
Independent screen,dual,104,0.37307692307692303,0.2903846153846154,0.08269230769230769,0.03461538461538462,0.1346153846153846,120.93076923076923,0.9690366972477065,0,0.050584999999999936,0.001799640071985603
Fresh development,single,107,0.32523364485981304,0.27850467289719627,0.04672897196261682,0.020560747663551402,0.07663551401869158,124.87663551401869,1.0,0,0.043340560747663515,0.0033993201359728054
Fresh development,dual,116,0.3448275862068966,0.2672413793103448,0.07758620689655173,0.03793103448275861,0.12413793103448274,125.65517241379311,0.9633774160732451,0,0.0420458620689656,0.0065986802639472104
