branch,method,budget_k,conditions,perturbations,coverage,coverage_ci_low,coverage_ci_high,mean_candidate_rollouts,mean_decision_steps,total_decision_steps,executed_candidate_valid_rate,role_invalid
single,router,1,239,5,0.3523012552301255,0.295397489539749,0.4083682008368201,1.0,70.05774058577406,83719,1.0,0
single,router,2,239,5,0.38493723849372385,0.3263598326359833,0.44267782426778246,1.6476987447698745,120.68953974895398,144224,1.0,0
single,fixed,1,239,5,0.30794979079497903,0.2510460251046025,0.3656903765690377,1.0,70.18577405857741,83872,1.0,0
single,fixed,2,239,5,0.3138075313807531,0.2560669456066946,0.37154811715481173,1.692050209205021,125.2887029288703,149720,1.0,0
dual,router,1,232,5,0.253448275862069,0.20172413793103447,0.30689655172413793,1.0,73.94827586206897,85780,0.9594827586206897,0
dual,router,2,232,5,0.30689655172413793,0.2525862068965517,0.3629310344827586,1.7465517241379311,132.57672413793102,153789,0.9768015794669299,0
dual,fixed,1,232,5,0.2163793103448276,0.16637931034482759,0.2681034482758621,1.0,74.84051724137932,86815,1.0,0
dual,fixed,2,232,5,0.22155172413793106,0.1724137931034483,0.27588362068965483,1.7836206896551725,137.5301724137931,159535,1.0,0
