branch,method,coverage_gain,gain_ci_low,gain_ci_high,extra_candidate_rollouts,extra_decision_steps,coverage_gain_per_extra_rollout
single,router,0.032635983263598324,0.013389121338912135,0.056066945606694556,0.6476987447698745,50.63179916317992,0.0503875968992248
single,fixed,0.005857740585774058,0.0,0.014225941422594144,0.6920502092050209,55.102928870292885,0.008464328899637242
dual,router,0.05344827586206896,0.028448275862068963,0.08191810344827555,0.7465517241379311,58.628448275862056,0.07159353348729791
dual,fixed,0.005172413793103448,0.0008620689655172415,0.011206896551724138,0.7836206896551725,62.689655172413794,0.0066006600660066
