run,spec,vehicle,ttt_index,ttt_channel_slot,can_user_defined_index,configured_label,description,fcw_context,explicit_sound_label,semantic_status,minimum,maximum,true_time_s,delay_time_s,or_true,trace_status,rows,bad_rows,sha256,t_fcw_audio_observed_s,t_ttt_true_time_complete_s,t_ttt_final_after_delay_s,time_source,observed_to_qualified_s,qualified_to_final_s,observed_braking_onset_s,braking_source_status,br_command_active,fcw_audio_to_observed_braking_s
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside/26-GVT 50 kph/93-VUT 60 kph; CCScp Farside GVT 50 kph FCW/V14_T93_R1.txt,14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside/26-GVT 50 kph/93-VUT 60 kph; CCScp Farside GVT 50 kph FCW/V14_T93_R1.spec,14-BZ3X,3,1,1,SoundAlarm1,AR Speed Throttle Event,True,True,avad3_fcw_audio_explicit_sound_label,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,3212,93,ad6fefccc19587b68dcb5e8168f4ddce84f87ec47ac7bdd1fca184ff845b0e14,25.3118000030518,25.3118000030518,26.3118991851807,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0000991821288991,25.961799621582,robot_channel_active,True,0.6499996185301988
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside/26-GVT 50 kph/93-VUT 60 kph; CCScp Farside GVT 50 kph FCW/V14_T93_R2.txt,14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside/26-GVT 50 kph/93-VUT 60 kph; CCScp Farside GVT 50 kph FCW/V14_T93_R2.spec,14-BZ3X,3,1,1,SoundAlarm1,AR Speed Throttle Event,True,True,avad3_fcw_audio_explicit_sound_label,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,3242,93,4862b8503971ff743c2e316f3195e0b9f10019bd229dc537d8fbcf6a950df2ba,25.9323997497559,25.9323997497559,26.9325008392334,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0001010894775,26.5123996734619,robot_channel_active,True,0.5799999237060014
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside/26-GVT 50 kph/93-VUT 60 kph; CCScp Farside GVT 50 kph FCW/V14_T93_R3.txt,14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside/26-GVT 50 kph/93-VUT 60 kph; CCScp Farside GVT 50 kph FCW/V14_T93_R3.spec,14-BZ3X,3,1,1,SoundAlarm1,AR Speed Throttle Event,True,True,avad3_fcw_audio_explicit_sound_label,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,3100,93,528aa58a44b5db0e7e5919295a215ca37ec7384c5d2d89c50053ffcee0732903,25.2418003082275,25.2418003082275,26.2418994903564,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0000991821288991,25.8617992401123,robot_channel_active,True,0.6199989318848012
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/36-GVT 40 kph/125-VUT 50 kph; CCScpo Nearside GVT 40 kph FCW/V14_T125_R1.txt,14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/36-GVT 40 kph/125-VUT 50 kph; CCScpo Nearside GVT 40 kph FCW/V14_T125_R1.spec,14-BZ3X,3,1,1,SoundAlarm1,AR Speed Throttle Event,True,True,avad3_fcw_audio_explicit_sound_label,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,2933,93,6147c6feb66777a21e7d4a02e0016bdfc548f2fd6b560b546538e3686d172c79,24.6018009185791,24.6018009185791,25.601900100708,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0000991821288991,24.6818008422852,robot_channel_active,True,0.07999992370609732
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/36-GVT 40 kph/125-VUT 50 kph; CCScpo Nearside GVT 40 kph FCW/V14_T125_R2.txt,14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/36-GVT 40 kph/125-VUT 50 kph; CCScpo Nearside GVT 40 kph FCW/V14_T125_R2.spec,14-BZ3X,3,1,1,SoundAlarm1,AR Speed Throttle Event,True,True,avad3_fcw_audio_explicit_sound_label,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,2947,93,17305d09f7f7e510f662a51f016a456d7eeb151b800d19a104d6cae97121f365,23.6616992950439,23.6616992950439,24.6618003845215,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0001010894775995,24.3316993713379,robot_channel_active,True,0.6700000762940022
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/36-GVT 40 kph/125-VUT 50 kph; CCScpo Nearside GVT 40 kph FCW/V14_T125_R3.txt,14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/36-GVT 40 kph/125-VUT 50 kph; CCScpo Nearside GVT 40 kph FCW/V14_T125_R3.spec,14-BZ3X,3,1,1,SoundAlarm1,AR Speed Throttle Event,True,True,avad3_fcw_audio_explicit_sound_label,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,2878,93,dab957208ae9d800101fb93d0791554694d3ebf3c9ecc60aede7cc9ed77524be,23.3922004699707,23.3922004699707,24.3922996520996,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0000991821288991,24.0023002624512,robot_channel_active,True,0.6100997924805007
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/37-GVT 50 kph/129-VUT 60 kph; CCScpo Nearside GVT 50 kph FCW/V14_T129_R1.txt,14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/37-GVT 50 kph/129-VUT 60 kph; CCScpo Nearside GVT 50 kph FCW/V14_T129_R1.spec,14-BZ3X,3,1,1,SoundAlarm1,AR Speed Throttle Event,True,True,avad3_fcw_audio_explicit_sound_label,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,3036,93,03457ca127136d47f65149002f1f13a9cccecf14be2a6c3fed7d12863adb6e23,24.5018005371094,24.5018005371094,25.5018997192383,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0000991821288991,25.5018997192383,robot_channel_active,True,1.0000991821288991
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/37-GVT 50 kph/129-VUT 60 kph; CCScpo Nearside GVT 50 kph FCW/V14_T129_R2.txt,14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/37-GVT 50 kph/129-VUT 60 kph; CCScpo Nearside GVT 50 kph FCW/V14_T129_R2.spec,14-BZ3X,3,1,1,SoundAlarm1,AR Speed Throttle Event,True,True,avad3_fcw_audio_explicit_sound_label,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,3091,93,cb7befc1d32a607c5132f6faa43f3353a047d543795da79924eb18de116b122f,25.2523994445801,25.2523994445801,26.2523994445801,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0,25.8824005126953,robot_channel_active,True,0.6300010681151988
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/37-GVT 50 kph/129-VUT 60 kph; CCScpo Nearside GVT 50 kph FCW/V14_T129_R3.txt,14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/37-GVT 50 kph/129-VUT 60 kph; CCScpo Nearside GVT 50 kph FCW/V14_T129_R3.spec,14-BZ3X,3,1,1,SoundAlarm1,AR Speed Throttle Event,True,True,avad3_fcw_audio_explicit_sound_label,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,3168,93,0eb06b4c596dc1c4e26d2f420e8360e8fcca238f930ec8e02892993837b92660,25.7019004821777,25.7019004821777,26.7019004821777,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0,26.7518997192383,robot_channel_active,True,1.0499992370606002
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/65-VUT 50 kph; CCRs 50 % FCW/V14_T65_R1.txt,14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/65-VUT 50 kph; CCRs 50 % FCW/V14_T65_R1.spec,14-BZ3X,3,1,1,SoundAlarm1,AR Speed Throttle Event,True,True,avad3_fcw_audio_explicit_sound_label,0.5,1.5,0.0,1.0,False,fcw_audio_rising_edge_found,3066,93,d8882048b6cf920298398c766eaf71f10bb91efc0b36f30fd221976e37274852,23.1816997528076,23.1816997528076,24.1816997528076,Time tolerance X (within tolerances) first 0-to-1 edge,0.0,1.0,24.1317005157471,robot_channel_active,True,0.9500007629394993
