uid,branch,fixed2_rate,optimistic_oracle2_rate,loo_oracle2_rate,optimistic_pair,loo_pair_consistency,head0_rate,head1_rate,head2_rate,head3_rate
training_seed73000_samplerv2::single::single-00081,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00082,single,1.0,1.0,1.0,0+1,1.0,0.0,1.0,0.0,0.0
training_seed73000_samplerv2::single::single-00083,single,1.0,1.0,1.0,0+1,1.0,0.2,1.0,0.0,1.0
training_seed73000_samplerv2::single::single-00084,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00085,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00087,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00088,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00091,single,0.2,0.2,0.2,0+1,1.0,0.0,0.2,0.0,0.0
training_seed73000_samplerv2::single::single-00092,single,0.0,0.6,0.6,0+2,1.0,0.0,0.0,0.6,0.0
training_seed73000_samplerv2::single::single-00094,single,1.0,1.0,1.0,0+1,1.0,1.0,0.0,0.0,1.0
training_seed73000_samplerv2::single::single-00095,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00096,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00098,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00100,single,1.0,1.0,1.0,0+1,1.0,0.6,1.0,0.0,1.0
training_seed73000_samplerv2::single::single-00103,single,1.0,1.0,1.0,0+1,1.0,0.2,1.0,0.0,1.0
training_seed73000_samplerv2::single::single-00104,single,1.0,1.0,1.0,0+1,1.0,0.4,1.0,0.0,1.0
training_seed73000_samplerv2::single::single-00105,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00108,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00109,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00110,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00111,single,1.0,1.0,1.0,0+1,1.0,0.0,1.0,0.0,0.4
training_seed73000_samplerv2::single::single-00112,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00113,single,0.0,0.2,0.0,0+2,0.8,0.0,0.0,0.2,0.0
training_seed73000_samplerv2::single::single-00114,single,0.0,1.0,1.0,0+2,1.0,0.0,0.0,1.0,0.0
training_seed73000_samplerv2::single::single-00117,single,1.0,1.0,1.0,0+1,1.0,0.6,1.0,0.0,1.0
training_seed73000_samplerv2::single::single-00120,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00121,single,1.0,1.0,1.0,0+1,1.0,0.0,1.0,0.0,0.2
training_seed73000_samplerv2::single::single-00123,single,1.0,1.0,1.0,0+1,1.0,0.0,1.0,0.0,0.0
training_seed73000_samplerv2::single::single-00126,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00128,single,0.4,0.4,0.4,0+1,1.0,0.0,0.4,0.0,0.0
training_seed73000_samplerv2::single::single-00130,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00132,single,0.0,0.8,0.8,0+2,1.0,0.0,0.0,0.8,0.0
training_seed73000_samplerv2::single::single-00133,single,1.0,1.0,1.0,0+1,1.0,1.0,1.0,0.0,1.0
training_seed73000_samplerv2::single::single-00134,single,0.0,0.2,0.0,0+2,0.8,0.0,0.0,0.2,0.0
training_seed73000_samplerv2::single::single-00136,single,0.0,1.0,1.0,0+2,1.0,0.0,0.0,1.0,0.0
training_seed73000_samplerv2::single::single-00137,single,1.0,1.0,1.0,0+1,1.0,1.0,1.0,0.0,1.0
training_seed73000_samplerv2::single::single-00139,single,0.0,0.0,0.0,0+1,1.0,0.0,0.0,0.0,0.0
training_seed73000_samplerv2::single::single-00140,single,1.0,1.0,1.0,0+1,1.0,0.0,1.0,0.0,1.0
