run,vehicle,scenario,filename,rows,channels,row_count_matches,file_path_has_aeb,event_status,explicit_aeb_fcw_channels,has_object_reference_actual_xy,has_head_tracker_reference_actual_xy,has_spt_reference_actual,has_launchpad_low_level,has_can_user_defined,robot_max_abs_json,observed_braking_onset_s,observed_braking_onset_ttc_s,onset_speed_kph,peak_deceleration_mps2,speed_drop_2s_kph,lateral_velocity_delta_peak_mps,yaw_rate_delta_peak_dps,heading_change_deg,speed_rebound_kph,positive_speed_step_fraction,brake_pulse_count,jerk_p95_mps3,prototype_similarity_0_1,prototype_scope,target_source,target_usable_dynamic,target_active_samples,target_reference_path_range_m,target_reference_frame_offset_x_m,target_reference_frame_offset_y_m,target_reference_frame_offset_norm_m,target_raw_position_difference_p50_m,target_aligned_position_residual_rmse_m,target_aligned_position_residual_p95_m,target_aligned_position_residual_max_m,aeb_request_proxy_earliest_s,aeb_request_proxy_nominal_s,aeb_request_proxy_latest_s,aeb_request_to_onset_prior_low_s,aeb_request_to_onset_prior_high_s,aeb_request_proxy_status
9-BZ7/8-C-NCAP VRU 2024 (VUT)/24-CPTA-LF [O.6.1.10]/25-CPTA-LF 6.5 kph AEB (Day)/637-VUT 20 kph; CPTA-LF 6.5 kph AEB (Day)/V9_T637_R3.txt,9-BZ7,CPTA,V9_T637_R3.txt,4539,415,True,True,br_zero_observed_braking,,True,True,False,False,False,"{""BR Command"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""BR start"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""BR test"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""Motion Going BR"": {""event_max_abs"": 1.0, ""event_max_abs_delta"": 0.0}}",41.4799995422363,1.00505793094635,20.2620868682861,-9.996343708038339,20.1928768157959,0.435332596302032,25.29380273818968,26.952026367187045,3.07325893640518,0.06912442396313365,2,72.40602261389614,0.22215986270498833,CPTA,Object 1,True,780,10.64142608973688,0.30470848083497026,-0.3230276107788086,0.444065418174193,0.44406534761481464,0.007769762775556337,0.015564370997341977,0.016475960261403924,41.1299995422363,41.2299995422363,41.3299995422363,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
9-BZ7/8-C-NCAP VRU 2024 (VUT)/24-CPTA-LF [O.6.1.10]/25-CPTA-LF 6.5 kph AEB (Day)/637-VUT 20 kph; CPTA-LF 6.5 kph AEB (Day)/V9_T637_R4.txt,9-BZ7,CPTA,V9_T637_R4.txt,4809,415,True,True,br_zero_observed_braking,,True,True,False,False,False,"{""BR Command"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""BR start"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""BR test"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""Motion Going BR"": {""event_max_abs"": 1.0, ""event_max_abs_delta"": 0.0}}",44.3800010681152,0.961319446563721,20.3845958709717,-10.468211269378665,20.3037414550781,0.446176677942276,25.08343124389646,26.932708740235,3.328989088535306,0.06976744186046512,2,75.7438880412437,0.18966833658976465,CPTA,Object 1,True,758,10.501481378968101,0.30493927001953436,-0.32280921936034446,0.4440650295892275,0.4440652982576064,0.007418939424201639,0.014782782500517875,0.015449957377917115,44.0300010681152,44.1300010681152,44.2300010681152,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
9-BZ7/8-C-NCAP VRU 2024 (VUT)/24-CPTA-LF [O.6.1.10]/25-CPTA-LF 6.5 kph AEB (Day)/637-VUT 20 kph; CPTA-LF 6.5 kph AEB (Day) (1)/V9_T637_R1.txt,9-BZ7,CPTA,V9_T637_R1.txt,5170,415,True,True,robot_channel_active,,True,True,False,False,False,"{""BR Command"": {""event_max_abs"": 44.4621772766113, ""event_max_abs_delta"": 27.72391605377195}, ""BR start"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""BR test"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""Motion Going BR"": {""event_max_abs"": 1.0, ""event_max_abs_delta"": 0.0}}",9.98989963531494,48.1888847351074,16.2697334289551,-2.754822063446044,10.83398580551151,0.02033346425741908,0.38095993548631646,0.5560302734369884,1.457072913646698,0.033860045146726865,3,20.5657257344064,,,Object 1,True,266,0.0009226206333750482,-0.28506088256835227,0.31337547302239877,0.42363179042968446,0.42363179422546715,7.127018318769403e-05,0.00011627007039461482,0.00013780511373986132,9.63989963531494,9.73989963531494,9.83989963531494,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
9-BZ7/8-C-NCAP VRU 2024 (VUT)/24-CPTA-LF [O.6.1.10]/25-CPTA-LF 6.5 kph AEB (Day)/637-VUT 20 kph; CPTA-LF 6.5 kph AEB (Day) (1)/V9_T637_R2.txt,9-BZ7,CPTA,V9_T637_R2.txt,4772,415,True,True,br_zero_observed_braking,,True,True,False,False,False,"{""BR Command"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""BR start"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""BR test"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""Motion Going BR"": {""event_max_abs"": 1.0, ""event_max_abs_delta"": 0.0}}",43.9799995422363,0.984426021575928,20.0319499969482,-11.024576091766377,19.954158782959,0.434700094163418,23.656678199768052,26.337066650391023,3.1286129355430647,0.08056872037914692,2,76.33988877619689,0.25346008803093256,CPTA,Object 1,True,831,10.555931570768141,0.30495822429657005,-0.32279205322264914,0.44406556744450554,0.44406531489618906,0.0023143432969474406,0.004781813892227911,0.005655538880743852,43.6299995422363,43.7299995422363,43.8299995422363,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
9-BZ7/8-C-NCAP VRU 2024 (VUT)/24-CPTA-LF [O.6.1.10]/25-CPTA-LF 6.5 kph AEB (Day)/637-VUT 20 kph; CPTA-LF 6.5 kph AEB (Day) (1)/V9_T637_R3.txt,9-BZ7,CPTA,V9_T637_R3.txt,4539,415,True,True,br_zero_observed_braking,,True,True,False,False,False,"{""BR Command"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""BR start"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""BR test"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""Motion Going BR"": {""event_max_abs"": 1.0, ""event_max_abs_delta"": 0.0}}",41.4799995422363,1.00505793094635,20.2620868682861,-9.996343708038339,20.1928768157959,0.435332596302032,25.29380273818968,26.952026367187045,3.07325893640518,0.06912442396313365,2,72.40602261389614,0.22215986270498833,CPTA,Object 1,True,780,10.64142608973688,0.30470848083497026,-0.3230276107788086,0.444065418174193,0.44406534761481464,0.007769762775556337,0.015564370997341977,0.016475960261403924,41.1299995422363,41.2299995422363,41.3299995422363,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
9-BZ7/8-C-NCAP VRU 2024 (VUT)/24-CPTA-LF [O.6.1.10]/25-CPTA-LF 6.5 kph AEB (Day)/637-VUT 20 kph; CPTA-LF 6.5 kph AEB (Day) (1)/V9_T637_R4.txt,9-BZ7,CPTA,V9_T637_R4.txt,4809,415,True,True,br_zero_observed_braking,,True,True,False,False,False,"{""BR Command"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""BR start"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""BR test"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""Motion Going BR"": {""event_max_abs"": 1.0, ""event_max_abs_delta"": 0.0}}",44.3800010681152,0.961319446563721,20.3845958709717,-10.468211269378665,20.3037414550781,0.446176677942276,25.08343124389646,26.932708740235,3.328989088535306,0.06976744186046512,2,75.7438880412437,0.18966833658976465,CPTA,Object 1,True,758,10.501481378968101,0.30493927001953436,-0.32280921936034446,0.4440650295892275,0.4440652982576064,0.007418939424201639,0.014782782500517875,0.015449957377917115,44.0300010681152,44.1300010681152,44.2300010681152,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
9-BZ7/8-C-NCAP VRU 2024 (VUT)/24-CPTA-LF [O.6.1.10]/25-CPTA-LF 6.5 kph AEB (Day)/640-VUT 30 kph; CPTA-LF 6.5 kph AEB (Day)/V9_T640_R1.txt,9-BZ7,CPTA,V9_T640_R1.txt,4849,415,True,True,robot_channel_active,,True,True,False,False,False,"{""BR Command"": {""event_max_abs"": 47.2500305175781, ""event_max_abs_delta"": 29.815846443176248}, ""BR start"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""BR test"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""Motion Going BR"": {""event_max_abs"": 1.0, ""event_max_abs_delta"": 0.0}}",7.03000020980835,62.0502243041992,13.6209239959717,-3.3484302997589106,12.4789047241211,0.00944151543080805,0.44446959346532755,0.7308959960940342,1.6185488104820251,0.04155124653739612,2,26.50049719782269,,,Object 1,True,65,0.0010623062926927603,-0.34116458892822976,0.25113868713379084,0.42363181763631974,0.4236320203035297,5.776303978239022e-05,0.0001287495649929701,0.0001358140716159276,6.68000020980835,6.78000020980835,6.880000209808349,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
9-BZ7/8-C-NCAP VRU 2024 (VUT)/24-CPTA-LF [O.6.1.10]/25-CPTA-LF 6.5 kph AEB (Day)/640-VUT 30 kph; CPTA-LF 6.5 kph AEB (Day)/V9_T640_R3.txt,9-BZ7,CPTA,V9_T640_R3.txt,4772,415,True,True,br_zero_observed_braking,,True,True,False,False,False,"{""BR Command"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""BR start"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""BR test"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""Motion Going BR"": {""event_max_abs"": 1.0, ""event_max_abs_delta"": 0.0}}",43.9000015258789,1.04616689682007,30.4156837463379,-10.277381420135482,30.3684940338135,0.393235497176647,22.22586107254029,25.320190429687045,3.31987798213959,0.06938775510204082,2,71.41507939935326,0.3337465342580661,CPTA,Object 1,True,798,10.447079743422412,0.299294076859951,-0.32804965972900035,0.4440647742072807,0.4440653225400032,0.019624971906608914,0.03595721461656337,0.036011443455829656,43.5500015258789,43.6500015258789,43.7500015258789,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
9-BZ7/8-C-NCAP VRU 2024 (VUT)/24-CPTA-LF [O.6.1.10]/25-CPTA-LF 6.5 kph AEB (Day)/640-VUT 30 kph; CPTA-LF 6.5 kph AEB (Day)/V9_T640_R4.txt,9-BZ7,CPTA,V9_T640_R4.txt,4995,415,True,True,br_zero_observed_braking,,True,True,False,False,False,"{""BR Command"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""BR start"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""BR test"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""Motion Going BR"": {""event_max_abs"": 1.0, ""event_max_abs_delta"": 0.0}}",46.0099983215332,0.977127850055695,30.4355945587158,-10.803007221221929,30.3681144714355,0.378835558891296,22.714447021484382,25.264709472656023,3.162361562252049,0.06557377049180328,2,75.54430053601571,0.31280579546676174,CPTA,Object 1,True,790,10.67802526950109,0.3071088790893599,-0.3207454681396982,0.4440647688656208,0.4440652138396389,0.005609672923595299,0.01226005986840339,0.013070065435428312,45.6599983215332,45.7599983215332,45.859998321533205,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
9-BZ7/8-C-NCAP VRU 2024 (VUT)/24-CPTA-LF [O.6.1.10]/25-CPTA-LF 6.5 kph AEB (Day)/640-VUT 30 kph; CPTA-LF 6.5 kph AEB (Day)/V9_T640_R5.txt,9-BZ7,CPTA,V9_T640_R5.txt,4963,415,True,True,br_zero_observed_braking,,True,True,False,False,False,"{""BR Command"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""BR start"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""BR test"": {""event_max_abs"": 0.0, ""event_max_abs_delta"": 0.0}, ""Motion Going BR"": {""event_max_abs"": 1.0, ""event_max_abs_delta"": 0.0}}",45.5499992370605,1.01826012134552,30.4734668731689,-8.415014362335206,30.3884449005127,0.3769195564091206,21.19966268539428,26.068542480469034,2.335421621799472,0.05639097744360902,2,54.95993454571209,0.5614825818300161,CPTA,Object 1,True,878,10.745753405845845,0.30726647377014105,-0.32059478759770244,0.44406497693237723,0.444065262293163,0.005958465110353607,0.011830485956802283,0.01260054102861493,45.199999237060496,45.2999992370605,45.3999992370605,0.15,0.35,operator_engineering_prior_not_observed_ecu_signal
