run,vehicle,scenario,event_status,sha256,operator_label,onset_s,onset_speed_kph,travel_pre_mm,travel_win_mm,force_min_pre,force_max_pre,force_min_win,force_max_win,cmd_abs_max_pre2,cmd_abs_max_pre5,cmd_abs_max_win,cmd_active_frac_win,cmd_first_active_rel_s,pre_pulse_gap_s,tension,foot_pre_event,screen_flag_noisy,signature,screen_class
9-BZ7/8-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/598-VUT 20 kph; CPNCO-25 5 kph AEB (Day) (1)/V9_T598_R1.txt,9-BZ7,CPNCO,br_zero_observed_braking,34c8144795825a8b46c3790dcb3a7bed73986f03b98bcdac26eddea1080ee295,,20.09,20.54,0.008,27.204,-0.47,25.02,25.27,90.21,0.0,0.0,0.0,0.0,,,0,0,,foot_compression,foot_compression
9-BZ7/8-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/598-VUT 20 kph; CPNCO-25 5 kph AEB (Day)/V9_T598_R1.txt,9-BZ7,CPNCO,br_zero_observed_braking,34c8144795825a8b46c3790dcb3a7bed73986f03b98bcdac26eddea1080ee295,,20.09,20.54,0.008,27.204,-0.47,25.02,25.27,90.21,0.0,0.0,0.0,0.0,,,0,0,,foot_compression,foot_compression
9-BZ7/8-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/616-VUT 60 kph; CPNCO-25 5 kph AEB (Day) (1)/V9_T616_R3.txt,9-BZ7,CPNCO,br_zero_observed_braking,9ddf1b0a67d7446f2b55da80fa7fc1fd15fa5907ae91ba6fa430969b4cec9c50,,19.49,60.64,0.02,35.839,5.39,9.14,5.72,248.55,0.0,0.0,0.0,0.0,,,0,0,,foot_compression,foot_compression
9-BZ7/8-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/616-VUT 60 kph; CPNCO-25 5 kph AEB (Day)/V9_T616_R3.txt,9-BZ7,CPNCO,br_zero_observed_braking,9ddf1b0a67d7446f2b55da80fa7fc1fd15fa5907ae91ba6fa430969b4cec9c50,,19.49,60.64,0.02,35.839,5.39,9.14,5.72,248.55,0.0,0.0,0.0,0.0,,,0,0,,foot_compression,foot_compression
9-BZ7/9-Euro NCAP AEB Car-to-car 2023 (VUT)/25-AEB/27-CCRm [8.2.2.2]/914-VUT 80 kph; CCRm 100 % AEB (1)/V9_T914_R1.txt,9-BZ7,CCRM,br_zero_observed_braking,e90875b99005e8ad87d47cefafdafe18281e1de7f7161492867e8abae0c85206,,28.17,79.3,0.072,31.088,-3.25,3.98,0.42,77.36,0.0,0.0,0.0,0.0,,,0,0,,foot_compression,foot_compression
9-BZ7/9-Euro NCAP AEB Car-to-car 2023 (VUT)/25-AEB/27-CCRm [8.2.2.2]/914-VUT 80 kph; CCRm 100 % AEB/V9_T914_R1.txt,9-BZ7,CCRM,br_zero_observed_braking,e90875b99005e8ad87d47cefafdafe18281e1de7f7161492867e8abae0c85206,,28.17,79.3,0.072,31.088,-3.25,3.98,0.42,77.36,0.0,0.0,0.0,0.0,,,0,0,,foot_compression,foot_compression
Guang_Qi_E8_data/11-L6.1.7-SCP-VUT/205-L6.1.7-SCP-VUT-AEB-30.5kph-for/V5_T205_R1.txt,Guang_Qi_E8_data,SCP,br_zero_observed_braking,864f45e7a32a4d0596f9c3f961198e0e19afbadcbdc5004a41f2c1c41b241024,,10.16,27.63,0.013,46.723,0.16,57.88,61.72,299.27,0.0,0.0,0.0,0.0,,,0,0,,foot_compression,foot_compression
Guang_Qi_S9_data/5-C-NCAP VRU 2024 (VUT)/28-CBNAO [O.6.2.5]/29-CBNAO-50 15 kph AEB (Day)/324-VUT 60 kph; CBNAO-50 15 kph AEB (Day)/V4_T324_R1.txt,Guang_Qi_S9_data,AEB,br_zero_observed_braking,b746d943aef29980a9006ca6a996ab318bbe52069a6ece3dc46611617ee922bc,,11.04,60.44,0.267,35.664,-1.62,3.47,-1.92,222.16,0.0,0.0,0.0,0.0,,,0,0,,foot_compression,foot_compression
Guang_Qi_S9_data/5-C-NCAP VRU 2024 (VUT)/28-CBNAO [O.6.2.5]/29-CBNAO-50 15 kph AEB (Day)/324-VUT 60 kph; CBNAO-50 15 kph AEB (Day)/V4_T324_R2.txt,Guang_Qi_S9_data,AEB,br_zero_observed_braking,ed5c876b6022b6a714c85e279b27e05f3eba6ce9f96b9ab7635da758db1b519c,,9.64,60.34,0.434,41.197,-2.08,3.2,-1.35,118.78,0.0,0.0,0.0,0.0,,,0,0,,foot_compression,foot_compression
Guang_Qi_S9_data/5-C-NCAP VRU 2024 (VUT)/30-CSFAO [O.6.2.6]/31-CSFAO-50 20 kph AEB (Day)/321-VUT 40 kph; CSFAO-50 20 kph AEB (Day)/V4_T321_R1.txt,Guang_Qi_S9_data,AEB,br_zero_observed_braking,57b661b56f88d393e9cda24beedf34d81637a564874544bb53745eaea6292af2,,19.0,40.51,0.04,34.057,-2.84,2.79,0.1,73.98,0.0,0.0,0.0,0.0,,,0,0,,foot_compression,foot_compression
