run,vehicle,scenario,sha256,signature,onset_s,onset_speed_kph,travel_win_mm,force_min_win,force_max_win,cmd_abs_max_win,tension,screen_flag_noisy,operator_label,removal_reason
13-xiaopengG9/3-Euro NCAP AEB Car-to-Car 2020 Group (VUT)/2-Conditioning/3-New Vehicle Conditioning/13-Tyres (3x10 @ 56 kph) [8.1.3.1]/V13_T13_R14.txt,13-xiaopengG9,AEB,5cc6c8dcef7a2db5782562e315176bdff9fbacff093b1800d9cc31845abf1cef,aeb_pedal_static,11.03,55.07,0.001,21.29,26.73,0.035,0,1,,foot_pre_event
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB-CNCAP/11-CCRs/694-VUT 45 kph; Truck CCRs -50 % AEB (1)/V9_T694_R2.txt,9-BZ7,CCRS,d4cf8fdc15ad4ab936f91257bc0d5cf567794a8acb1ed3f7fb7cac324e8b7d49,aeb_pedal_dragged,18.0,44.47,22.777,1.14,38.73,0.0,0,,,no_tension_force_ge_30n
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB-CNCAP/11-CCRs/697-VUT 45 kph; Truck CCRs 100 % AEB (1)/V9_T697_R2.txt,9-BZ7,CCRS,64f6c40fe022cfde8f3f6fa9d825d1c584cec0898d9da0e1c51922d3cd019b43,aeb_pedal_dragged,18.95,44.49,23.357,0.72,35.14,0.032,0,1,,no_tension_force_ge_30n
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB-CIASI/11-CCRs/226-VUT 50 kph; CCRs -50 % AEB (1)/V9_T226_R1.txt,9-BZ7,CCRS,6cdbaf949442802a6715a80fef166a2815a73274c01cda3dc0f81bdb1f36cf67,aeb_pedal_dragged,23.0,49.19,30.486,0.61,35.06,0.0,0,,,no_tension_force_ge_30n
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB-CIASI/11-CCRs/229-VUT 30 kph; CCRs 50 % AEB (1)/V9_T229_R1.txt,9-BZ7,CCRS,36987e092b2bc2e913d7a1926ec665ceff3a8ecc1b69cf24c0d6ff0a0cf24c5c,aeb_pedal_dragged,18.2,29.33,26.174,0.17,36.33,0.0,0,,,no_tension_force_ge_30n
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB-CIASI/11-CCRs/232-VUT 40 kph; CCRs 100 % AEB (1)/V9_T232_R3.txt,9-BZ7,CCRS,379d1397e274c8a647a59a1bbaf16963cbb83aedc0e56532564487128244d138,aeb_pedal_dragged,15.24,39.23,29.284,-1.19,33.82,0.0,0,,,no_tension_force_ge_30n
9-BZ7/7-C-IASI VRU 2024 (VUT)/17-CPNSOC&CPNDOC [O.6.1.7]/18-CPNSOC & CPNDOC 5 kph AEB (Day)/454-VUT 60 kph; CPNSOC-50 5 kph AEB (Day) (1)/V9_T454_R1.txt,9-BZ7,AEB,c8917a3aabc1478dc194902ba3be16290b5ba4bd8230c7fb11c29c0dc752de9d,aeb_pedal_dragged,19.98,60.42,39.526,1.11,36.8,0.0,0,1,,no_tension_force_ge_30n
9-BZ7/7-C-IASI VRU 2024 (VUT)/17-CPNSOC&CPNDOC [O.6.1.7]/18-CPNSOC & CPNDOC 5 kph AEB (Day)/454-VUT 60 kph; CPNSOC-50 5 kph AEB (Day) (1)/V9_T454_R2.txt,9-BZ7,AEB,04e156f6befaeb67ca28129deb4c92be6233ded28b0f7f38b58823fc11db4766,aeb_pedal_dragged,20.31,60.41,39.677,0.94,39.58,0.0,0,,,no_tension_force_ge_30n
9-BZ7/8-C-NCAP VRU 2024 (VUT)/19-CPFAO [O.6.1.8]/20-CPFAO-25 6.5 kph AEB (Day)/619-VUT 60 kph; CPFAO-25 6.5 kph AEB (Day) (1)/V9_T619_R3.txt,9-BZ7,AEB,6a989502963bdd27e9a5e0ba1700a18d9d333684701c1cd5f9c3a139f454ca2d,aeb_pedal_dragged,19.08,59.31,37.475,0.56,33.85,0.0,0,,,no_tension_force_ge_30n
9-BZ7/8-C-NCAP VRU 2024 (VUT)/28-CBNAO [O.6.2.5]/29-CBNAO-50 15 kph AEB (Day)/661-VUT 20 kph; CBNAO-50 15 kph AEB (Day) (1)/V9_T661_R1.txt,9-BZ7,AEB,4a7c3978ad7de3c4aae47abb3eccea16cc4edf89f2bcebaacd75161bc8739bbf,aeb_pedal_dragged,16.64,19.01,17.238,-1.79,37.18,0.023,0,1,,no_tension_force_ge_30n
Guang_Qi_S9_data/5-C-NCAP VRU 2024 (VUT)/24-CPTA-LF [O.6.1.10]/25-CPTA-LF 6.5 kph AEB (Day)/291-VUT 30 kph; CPTA-LF 6.5 kph AEB (Day)/V4_T291_R2.txt,Guang_Qi_S9_data,CPTA,25ff373a86ca3ae5b72e7a1b1cdecd44fb26a5c4d0950ce8eca677635783596a,aeb_pedal_dragged,35.61,30.05,68.272,-0.08,15.41,0.0,0,,,foot_pre_event
XPengP7+_data/2-C-NCAP ADAS 2024 (VUT)/38-CCFT [L.6.1.9]/39-AEB/40-Farside/41-GVT 20 kph/104-VUT 10 kph; CCFT 20 kph AEB/V2_T104_R1.txt,XPengP7+_data,CCFT,1c0dea561e8b15ae9d20c62962afb7b9272697722b1520608930359d08eacb61,aeb_pedal_dragged,32.59,10.17,36.049,-0.2,13.69,0.0,0,,,foot_pre_event
XPengP7+_data/2-C-NCAP ADAS 2024 (VUT)/38-CCFT [L.6.1.9]/39-AEB/40-Farside/42-GVT 40 kph/107-VUT 20 kph; CCFT 40 kph AEB/V2_T107_R1.txt,XPengP7+_data,CCFT,07870e4a9a53bf4a1ea245ff37126bf8cae4ee70a0d6207dad3adf3fc30df77b,aeb_pedal_dragged,38.55,19.97,47.867,13.74,23.64,0.0,0,,,foot_pre_event
XPengP7+_data/2-C-NCAP ADAS 2024 (VUT)/38-CCFT [L.6.1.9]/39-AEB/40-Farside/43-GVT 50 kph/110-VUT 30 kph; CCFT 50 kph AEB/V2_T110_R1.txt,XPengP7+_data,CCFT,0e7a75782d254dd04845c6168c2fa1c2a6fcdbe999e6d8757972858ce25d4ada,aeb_pedal_dragged,27.2,30.15,43.294,1.25,31.73,0.0,0,,,foot_pre_event
XPengP7+_data/2-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB/11-CCRs/27-VUT 20 kph; CCRs -50 % AEB/V2_T27_R1.txt,XPengP7+_data,CCRS,c0db1725fb3a8d9beacb30285c049e236d356d70cf9a28ab1488e740ad4be50d,aeb_pedal_dragged,17.28,20.44,35.244,1.57,36.26,0.0,0,,,no_tension_force_ge_30n
XPengP7+_data/9-C-NCAP VRU 2024 (VUT)/37-CSTA-RN [O.6.2.9]/38-CSTA-RN 20 kph AEB (Day)/1236-VUT 20 kph; CSTA-RN 20 kph AEB (Day)/V2_T1236_R1.txt,XPengP7+_data,AEB,d5db5d268fb8faf31a06e942951c65c2a62e2a9f749b363b40e898997ae1ef68,aeb_pedal_static,19.66,17.76,0.004,2.64,26.66,0.0,0,,,foot_pre_event
