run,vehicle,label,y_aeb,scenario,onset_speed_kph,peak_deceleration_magnitude_mps2,effective_constant_deceleration_distance_mps2,time_onset_to_peak_s,event_duration_s,br_position_travel_mm,brake_force_max_n,jerk_p95_mps3,lateral_velocity_delta_peak_mps,yaw_rate_delta_peak_dps,heading_change_deg,speed_rebound_kph,positive_speed_step_fraction,brake_pulse_count
15-TANG L-CNCAP2024/23-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/10-AEB/11-CCRs/3329-VUT 40 kph; CCRs -50 % AEB/V15_T3329_R1.txt,15-TANG L-CNCAP2024,operator_confirmed_aeb_response,1,CCRS,40.48,10.966,4.242,1.49,1.9,46.231,11.828,58.35081184104794,0.022070337086915998,1.710904508829113,0.4173583984380116,3.32970941066742,0.06764705882352941,3
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/16-AEB/17-Farside/18-GVT 20 kph/1788-VUT 30 kph; CCScp Farside GVT 20 kph AEB/V14_T1788_R4.txt,14-BZ3X,operator_confirmed_aeb_response,1,SCP,20.359,10.877,7.681,0.34,0.64,14.505,11.619,59.32973828221755,0.03499376476975157,3.419362571090458,0.3275756835939774,2.0767439007759103,0.08411214953271028,1
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/30-CSFAO [O.6.2.6]/31-CSFAO-50 20 kph AEB (Day)/1797-VUT 15 kph; FCTB-50 20 kph AEB (Day)-ENCAP/V14_T1797_R1.txt,14-BZ3X,operator_confirmed_aeb_response,1,AEB,15.379,10.42,6.709,0.38,0.52,10.47,10.448,60.154569348472236,0.025795253925025515,2.1803394553717217,0.17199583165347598,2.069823175668721,0.07920792079207921,1
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/17-CPNCO [O.6.1.7]/18-CPNCO-25 5 kph AEB (Day)/476-VUT 20 kph; CPNCO-25 5 kph AEB (Day)/V14_T476_R1.txt,14-BZ3X,operator_confirmed_aeb_response,1,CPNCO,20.418,10.005,7.573,0.4,0.65,16.367,24.302,61.64891001889296,0.03846898942720146,2.18520462798188,0.19262945652008007,2.247773468494411,0.08837209302325581,1
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/12-CPLA [O.6.1.6]/13-CPLA-25 5 kph AEB (Day)/452-VUT 20 kph; CPLA-25 5 kph AEB (Day)/V14_T452_R3.txt,14-BZ3X,operator_confirmed_aeb_response,1,CPLA,20.368,10.696,5.916,0.67,0.77,12.662,8.778,60.27986389602071,0.04316208977252245,1.5745329446362981,0.2004089355469887,2.321613222360613,0.06607929515418502,1
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/32-CBLA [O.6.2.7]/33-CBLA-25 15 kph AEB (Day)/530-VUT 40 kph; CBLA-25 15 kph AEB (Day)/V14_T530_R1.txt,14-BZ3X,operator_confirmed_aeb_response,1,CBLA,40.376,11.116,8.812,0.35,1.17,16.119,-12.205,59.89509069673189,0.04949077335186302,1.8383395094424526,0.2850952148440342,2.1175409257412,0.0599250936329588,1
14-BZ3X/5-C-NCAP ADAS 2024 (VUT)/38-CCFT [L.6.1.9]/39-AEB/40-Farside/41-GVT 20 kph/133-VUT 10 kph; CCFT 20 kph AEB/V14_T133_R3.txt,14-BZ3X,operator_confirmed_aeb_response,1,CCFT,10.569,10.36,5.842,0.37,0.38,17.31,5.005,73.01871147452306,0.19761307537555708,10.03418970108032,11.97412109375,2.304187029600147,0.09574468085106383,1
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/28-CBNAO [O.6.2.5]/29-CBNAO-50 15 kph AEB (Day)/631-VUT 40 kph; CBNA-50 15 kph AEB (Day)-ciasi/V14_T631_R2.txt,14-BZ3X,operator_confirmed_aeb_response,1,CBNA,40.402,10.371,8.376,0.42,1.22,17.036,8.537,54.29074197060735,0.024158735759556252,1.3059734925627666,0.22424857318401292,2.033604502677914,0.058823529411764705,1
14-BZ3X/10-C-NCAP VRU 2024 (VUT)/24-CPTA-LF [O.6.1.10]/25-CPTA-LF 6.5 kph AEB (Day)/512-VUT 10 kph; CPTA-LF 6.5 kph AEB (Day)/V14_T512_R2.txt,14-BZ3X,operator_confirmed_aeb_response,1,CPTA,10.746,7.16,4.909,0.51,0.51,19.198,18.388,54.89848144118999,0.3268920183181763,18.328846573829672,22.2103843688964,1.899629294872283,0.07960199004975124,2
8-huajingS/7-C-NCAP VRU 2024 (VUT)/37-CSTA-RN [O.6.2.9]/38-CSTA-RN 20 kph AEB (Day)/370-VUT 20 kph; CSTA-RN 20 kph AEB (Day)/V8_T370_R2.txt,8-huajingS,operator_confirmed_aeb_response,1,AEB,20.831,10.093,6.835,0.31,0.73,22.106,0.011,65.48747040079448,0.1448705823568159,10.672701120376576,12.888077855110199,2.201712697744367,0.08071748878923767,2
