run,vehicle,label,y_aeb,scenario,onset_speed_kph,peak_deceleration_magnitude_mps2,effective_constant_deceleration_distance_mps2,time_onset_to_peak_s,event_duration_s,br_position_travel_mm,brake_force_max_n,jerk_p95_mps3,lateral_velocity_delta_peak_mps,yaw_rate_delta_peak_dps,heading_change_deg,speed_rebound_kph,positive_speed_step_fraction,brake_pulse_count
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/716-VUT 60 kph; CCRs -50 % FCW-track-night/V9_T716_R2.txt,9-BZ7,manual_after_fcw_audio,0,CCRS,59.269,11.132,9.277,1.31,1.66,25.817,22.287,63.157366727244984,0.0624023079872131,6.244333919137717,0.6301879882820458,3.3023873567581097,0.060126582278481014,2
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/716-VUT 60 kph; CCRs -50 % FCW-track-night (1)/V9_T716_R1.txt,9-BZ7,manual_after_fcw_audio,0,CCRS,59.256,10.965,9.295,1.26,1.66,26.256,30.574,64.69063557949671,0.0919658616185189,5.881983376108107,0.5228881835939774,3.081404566764831,0.060126582278481014,2
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/716-VUT 60 kph; CCRs -50 % FCW-track-night (1)/V9_T716_R2.txt,9-BZ7,manual_after_fcw_audio,0,CCRS,59.269,11.132,9.277,1.31,1.66,25.817,22.287,63.157366727244984,0.0624023079872131,6.244333919137717,0.6301879882820458,3.3023873567581097,0.060126582278481014,2
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/720-VUT 60 kph; CCRs 50 % FCW-track-night/V9_T720_R1.txt,9-BZ7,manual_after_fcw_audio,0,CCRS,59.37,11.016,9.288,1.36,1.66,26.132,18.877,60.85589997243662,0.0604286575689912,7.672305814921859,0.63671875,3.21785086393356,0.05379746835443038,2
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/720-VUT 60 kph; CCRs 50 % FCW-track-night/V9_T720_R2.txt,9-BZ7,manual_after_fcw_audio,0,CCRS,59.281,10.987,9.243,1.31,1.65,25.968,17.708,58.23729895091349,0.06434905715286734,4.314629307016726,0.40295410156295475,3.22308123111725,0.05714285714285714,2
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/720-VUT 60 kph; CCRs 50 % FCW-track-night (1)/V9_T720_R1.txt,9-BZ7,manual_after_fcw_audio,0,CCRS,59.37,11.016,9.288,1.36,1.66,26.132,18.877,60.85589997243662,0.0604286575689912,7.672305814921859,0.63671875,3.21785086393356,0.05379746835443038,2
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/720-VUT 60 kph; CCRs 50 % FCW-track-night (1)/V9_T720_R2.txt,9-BZ7,manual_after_fcw_audio,0,CCRS,59.281,10.987,9.243,1.31,1.65,25.968,17.708,58.23729895091349,0.06434905715286734,4.314629307016726,0.40295410156295475,3.22308123111725,0.05714285714285714,2
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/73-VUT 72 kph; CCRs 100% FCW-truck-day/V9_T73_R2.txt,9-BZ7,manual_after_fcw_audio,0,CCRS,70.35,11.387,8.429,1.72,2.07,0.007,16.45,56.01896992117169,0.09420218318700768,5.797258515376597,0.9259680882096261,3.27822864055633,0.04481792717086835,3
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/73-VUT 72 kph; CCRs 100% FCW-truck-day/V9_T73_R3.txt,9-BZ7,manual_after_fcw_audio,0,CCRS,70.275,11.069,8.227,1.74,2.11,0.015,17.631,61.113300546763234,0.085647001862526,6.679877466987816,1.015562891960143,3.44213330745697,0.0443213296398892,3
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/73-VUT 72 kph; CCRs 100% FCW-truck-day (1)/V9_T73_R2.txt,9-BZ7,manual_after_fcw_audio,0,CCRS,70.35,11.387,8.429,1.72,2.07,0.007,16.45,56.01896992117169,0.09420218318700768,5.797258515376597,0.9259680882096261,3.27822864055633,0.04481792717086835,3
9-BZ7/5-C-IASI ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/73-VUT 72 kph; CCRs 100% FCW-truck-day (1)/V9_T73_R3.txt,9-BZ7,manual_after_fcw_audio,0,CCRS,70.275,11.069,8.227,1.74,2.11,0.015,17.631,61.113300546763234,0.085647001862526,6.679877466987816,1.015562891960143,3.44213330745697,0.0443213296398892,3
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/36-GVT 40 kph/295-VUT 50 kph; CCScpo Nearside GVT 40 kph FCW/V9_T295_R2.txt,9-BZ7,manual_after_fcw_audio,0,FCW,50.337,10.469,8.986,1.11,1.44,30.729,16.711,60.70433200826542,0.037091663107276004,2.9076231228718847,0.2976989746100003,3.162137687206271,0.06802721088435375,2
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/36-GVT 40 kph/295-VUT 50 kph; CCScpo Nearside GVT 40 kph FCW/V9_T295_R3.txt,9-BZ7,manual_after_fcw_audio,0,FCW,50.39,11.101,8.844,1.33,1.44,31.256,16.46,55.204219174785415,0.0690563283860684,1.7327556470408991,0.1466064453130116,2.971900641918184,0.06462585034013606,2
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/36-GVT 40 kph/295-VUT 50 kph; CCScpo Nearside GVT 40 kph FCW (1)/V9_T295_R2.txt,9-BZ7,manual_after_fcw_audio,0,FCW,50.337,10.469,8.986,1.11,1.44,30.729,16.711,60.70433200826542,0.037091663107276004,2.9076231228718847,0.2976989746100003,3.162137687206271,0.06802721088435375,2
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/36-GVT 40 kph/295-VUT 50 kph; CCScpo Nearside GVT 40 kph FCW (1)/V9_T295_R3.txt,9-BZ7,manual_after_fcw_audio,0,FCW,50.39,11.101,8.844,1.33,1.44,31.256,16.46,55.204219174785415,0.0690563283860684,1.7327556470408991,0.1466064453130116,2.971900641918184,0.06462585034013606,2
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/37-GVT 50 kph/299-VUT 60 kph; CCScpo Nearside GVT 50 kph FCW/V9_T299_R1.txt,9-BZ7,manual_after_fcw_audio,0,FCW,58.007,10.964,8.984,1.33,1.66,0.016,17.335,51.983202260887545,0.0829494912177324,3.537815972231327,0.3092651367190342,3.2030789852142396,0.06645569620253164,2
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/37-GVT 50 kph/299-VUT 60 kph; CCScpo Nearside GVT 50 kph FCW/V9_T299_R2.txt,9-BZ7,manual_after_fcw_audio,0,FCW,59.076,11.012,9.213,1.22,1.66,1.646,15.32,57.29787857015564,0.07365146279335016,2.9767603529035087,0.3251342773440342,2.9457766413688677,0.06645569620253164,2
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/37-GVT 50 kph/299-VUT 60 kph; CCScpo Nearside GVT 50 kph FCW/V9_T299_R3.txt,9-BZ7,manual_after_fcw_audio,0,FCW,59.222,11.078,9.137,1.26,1.67,0.013,16.309,63.74106181862133,0.05769706983119255,2.293473530560735,0.25012207031295475,3.095362961292264,0.06309148264984227,2
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/37-GVT 50 kph/299-VUT 60 kph; CCScpo Nearside GVT 50 kph FCW (1)/V9_T299_R1.txt,9-BZ7,manual_after_fcw_audio,0,FCW,58.007,10.964,8.984,1.33,1.66,0.016,17.335,51.983202260887545,0.0829494912177324,3.537815972231327,0.3092651367190342,3.2030789852142396,0.06645569620253164,2
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/37-GVT 50 kph/299-VUT 60 kph; CCScpo Nearside GVT 50 kph FCW (1)/V9_T299_R2.txt,9-BZ7,manual_after_fcw_audio,0,FCW,59.076,11.012,9.213,1.22,1.66,1.646,15.32,57.29787857015564,0.07365146279335016,2.9767603529035087,0.3251342773440342,2.9457766413688677,0.06645569620253164,2
9-BZ7/6-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/37-GVT 50 kph/299-VUT 60 kph; CCScpo Nearside GVT 50 kph FCW (1)/V9_T299_R3.txt,9-BZ7,manual_after_fcw_audio,0,FCW,59.222,11.078,9.137,1.26,1.67,0.013,16.309,63.74106181862133,0.05769706983119255,2.293473530560735,0.25012207031295475,3.095362961292264,0.06309148264984227,2
Guang_Qi_S9_data/2-C-NCAP ADAS 2024 (VUT)/30-SCPO [L.6.1.8]/31-FCW/35-Nearside/36-GVT 40 kph/96-VUT 50 kph; CCScpo Nearside GVT 40 kph FCW/V4_T96_R2.txt,Guang_Qi_S9_data,manual_after_fcw_audio,0,FCW,50.451,9.765,4.899,1.04,2.99,25.557,32.277,34.272399255061835,0.038900185376405494,1.1936822710558792,1.1042785644530113,0.0,0.0,1
XPengP7+_data/2-C-NCAP ADAS 2024 (VUT)/15-SCP [L.6.1.7]/23-FCW/24-Farside/25-GVT 40 kph/60-VUT 50 kph; CCScp Farside GVT 40 kph FCW/V2_T60_R1.txt,XPengP7+_data,manual_after_fcw_audio,0,SCP,50.464,11.325,7.021,0.58,1.92,45.047,306.663,64.58952692868795,0.3689741352573036,29.967613998800502,6.319152832031989,3.00216495990753,0.05263157894736842,2
XPengP7+_data/2-C-NCAP ADAS 2024 (VUT)/9-CCR [L.6.1]/12-FCW/13-CCRs/36-VUT 50 kph; CCRs 50 % FCW/V2_T36_R4.txt,XPengP7+_data,manual_after_fcw_audio,0,CCRS,50.377,10.465,5.428,0.44,1.7,41.508,44.442,61.59561230437626,0.09762739669531585,8.479538161307577,1.065490722656989,2.81160974502563,0.040625,2
